"38579381","5CC67E9F-DAD7-4BCA-BEEC-7302BD8AECF9","5426023","1266","12814" 
"38583178","3F256551-167F-4247-98CA-39920F148F97","5426023","1266","12815" 
"38583358","99F2D94A-E546-4F3A-9AE1-0B00D239CFF1","5426023","1266","104" 
"38583364","E5DC14BA-9EA3-483B-A628-EF620F970B4D","5426023","1266","105" 
"38583860","F828385A-6B84-4AD3-B833-D59C1E96A3C1","5427094","1267","106" 
"38583874","E645C3EE-DA99-40A3-996B-3DC21671FB82","5426023","1266","107" 
"38590529","01D65D35-95C5-4108-86A5-6888EE4E8562","5428394","1302","108" 
"38593813","FD230A19-3E1F-4C84-B3E9-3DDBBD84C88C","5429211","1376","109" 
"38595535","DE96C7B1-2040-450E-8D7E-042A5841895A","5427094","1267","112" 
"38595582","D15E28B2-2C4E-42CC-B850-1948C2F4127B","5428394","1302","113" 
"38595583","4D2F842A-F4D1-48F5-BE97-A493EE9FE516","5428394","1302","114" 
"38600458","F3D02428-DCFE-404A-9B20-513342B87E6B","5431088","1780","12818" 
"38600804","50309F50-D73E-4884-84E2-879CDDE7CAC3","5431405","1995","12819" 
"38601483","B7BDDD5F-92DB-4A85-9043-ED1EB3EC53DE","5431619","1996","117" 
"38605413","7825CF5D-F9D0-4A57-8193-8C34C4F74729","5430559","1605","118" 
"38617811","EC0C3A50-DC7E-40CA-A0CC-99D14C84E9CD","5430569","1615","12820" 
"38618429","8E5260E7-D80F-4B0B-AB55-9A29892AF586","5430735","1746","120" 
"38618430","94F7EE12-4C9B-40EB-B3C8-13A318820110","5430735","1746","121" 
"38618435","77A54613-1627-4B48-960A-F12F17F0B0E7","5430735","1746","122" 
"38618439","716EF22B-D6AD-4327-9506-B51F6B1E3884","5430735","1746","123" 
"38619880","A4E45FE2-F765-4138-83CD-AAC3249DD2BF","5427094","1267","124" 
"38620084","C19B8DDB-5CFF-43BA-9BCD-FE2256591FE9","5436795","2347","12821" 
"38620165","0D2318E1-A92B-483D-A7B9-F0C310D00531","5436803","2348","12822" 
"38621579","0D7D4547-BA0B-41E5-AA4A-B93178054DC1","5437064","2350","12823" 
"38621630","B5CE8659-68E8-470C-BA75-F0796830F439","5437064","2350","12824" 
"38621665","78AA76C9-27DA-43C2-B861-184AF7245450","5437086","2351","12825" 
"38622994","5E642CC7-AB0B-42CD-A448-B8D3E6FF3082","5430605","1643","12826" 
"38624149","0166A4FD-B70A-4A04-896D-32AB35EED021","5430605","1643","12827" 
"38625613","600C18A8-345A-4239-B181-0591209FF5C3","5430728","1743","12828" 
"38626169","A8508149-334C-454F-99C2-18CB5C759442","5437587","2353","12829" 
"38626451","CBBEEBAF-F918-49CB-A55D-464FA211616C","5437595","2354","12830" 
"38643719","703BF80A-BD71-4798-A953-DDCF8B33FCF5","5439717","2356","12831" 
"38646884","66DFE4B6-E789-497E-82C8-CD99E8CCB4D1","5438831","2355","12834" 
"38660384","D33AD85A-4482-4753-BA58-25393F42E4A5","5439717","2356","12835" 
"38662293","8316C646-826A-4D0E-8034-2BABAF74ADFA","5441539","2357","140" 
"38662301","B705189A-5DA3-42EA-8D6E-1224B32632D6","5441539","2357","141" 
"38666468","61534396-7585-4866-8DF6-D617C049A2AC","5442286","2360","142" 
"38666528","72CE7A19-451E-4767-8C06-EED4718C40F1","5442286","2360","12836" 
"38667163","CEB98071-36D1-4B18-8285-2E0121B45788","5442396","2362","146" 
"38667164","E4269CC6-D316-4846-AC7A-A47AE8BC2E78","5442396","2362","147" 
"44245393","473C5309-BC38-4231-AED4-D65D11F60A0D","5630232","2363","12839" 
"44245460","F496E7EE-8406-4F3D-8B1B-AFD9946C6A98","5430735","1746","149" 
"44245517","051FB79C-2129-4381-8B1C-68060ED09D3A","5428394","1302","150" 
"44245525","3AC3EB0D-9163-4208-B855-6CC937BE9BF5","5428394","1302","151" 
"44245739","185620E4-4DDC-4520-BAE6-4960141C614D","5630310","2364","12840" 
"44245916","7801AFEF-047C-4F38-A668-32056AA89869","5630330","2365","12841" 
"44246336","9B4B7B04-83D1-4497-B425-158BEB48F26C","5630330","2365","12842" 
"44246348","CE0DBD2C-52E8-474F-96E2-A78F0B7B21FF","5630387","2366","12843" 
"44248093","F29E5BB0-83D2-4FF2-BF7B-614AA9F3589A","5630330","2365","167" 
"44248093","F29E5BB0-83D2-4FF2-BF7B-614AA9F3589A","5630330","2365","167" 
"44257109","070661E3-FD90-4A39-A72A-017A5E8FC90C","5630960","2367","168" 
"44258651","2F3CCAA2-53FA-499F-BEC5-FBBFEF41F1D5","5436754","2346","12846" 
"44328716","C65D5E8F-EB91-472C-90AB-0226CC0AF61B","5635532","2373","12847" 
